address,unit,beds,baths,rent,sqft,avail,pets,parking,built,renovated,num_units,stories,fitness,outdoor
"269 W 72nd St, New York, NY 10023",-1,1,1.0,3250,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"66 W 69th St, New York, NY 10023",-1,2,1.5,5000,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"1991 Broadway, New York, NY 10023",-1,2,1.0,5600,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,Balcony
"70 W 68th St, New York, NY 10023",-1,1,1.0,2525,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"211 W 70th St, New York, NY 10023",-1,2,2.0,4375,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"43 W 69th St, New York, NY 10023",-1,1,1.0,2350,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"3 W 73rd St, New York, NY 10023",-1,0,1.0,2850,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"45 W 69th St, New York, NY 10023",-1,1,1.0,3400,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"155 W 75th St, New York, NY 10023",-1,3,3.0,6800,1500,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"271 W 73rd St, New York, NY 10023",-1,0,1.0,2020,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"331 W 76th St, New York, NY 10023",-1,1,1.0,2800,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"38 W 74th St, New York, NY 10023",-1,1,1.0,3450,-1,0,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"100 W 74th St, New York, NY 10023",-1,3,2.0,5650,-1,0,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"36 W 76th St, New York, NY 10023",-1,1,1.0,2650,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"326 Columbus Ave, New York, NY 10023",-1,1,1.0,2500,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"325 W 71st St, New York, NY 10023",-1,1,1.0,3100,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"48 W 68th St, New York, NY 10023",-1,1,1.0,4548,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"1930 Broadway, New York, NY 10023",-1,4,5.5,45000,-1,1,,,N/A,N/A,N/A,N/A,Fitness Center;Pool,N/A
"2020 Broadway, New York, NY 10023",-1,1,1.0,3300,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"323 W 75th St, New York, NY 10023",-1,1,1.0,3200,-1,0,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"251 W 73rd St, New York, NY 10023",-1,1,1.0,2995,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"59 W 69th St, New York, NY 10023",-1,1,1.0,2550,-1,1,Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"229 Columbus Ave, New York, NY 10023",-1,2,1.0,2950,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
